F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
4 S root           1       0  0  80   0 - 42262 ep_pol 02:52 ?        00:00:16 /sbin/init splash
1 S root           2       0  0  80   0 -     0 kthrea 02:52 ?        00:00:00 [kthreadd]
1 I root           3       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [rcu_gp]
1 I root           4       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [rcu_par_gp]
1 I root           6       2  0  60 -20 -     0 worker 02:52 ?        00:00:00 [kworker/0:0H]
1 I root           9       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [mm_percpu_wq]
1 S root          10       2  0  80   0 -     0 smpboo 02:52 ?        00:00:00 [ksoftirqd/0]
1 I root          11       2  0  80   0 -     0 rcu_gp 02:52 ?        00:00:18 [rcu_sched]
1 S root          12       2  0 -40   - -     0 smpboo 02:52 ?        00:00:00 [migration/0]
5 S root          13       2  0   9   - -     0 smpboo 02:52 ?        00:00:00 [idle_inject/0]
1 S root          14       2  0  80   0 -     0 smpboo 02:52 ?        00:00:00 [cpuhp/0]
1 S root          15       2  0  80   0 -     0 smpboo 02:52 ?        00:00:00 [cpuhp/1]
5 S root          16       2  0   9   - -     0 smpboo 02:52 ?        00:00:00 [idle_inject/1]
1 S root          17       2  0 -40   - -     0 smpboo 02:52 ?        00:00:01 [migration/1]
1 S root          18       2  0  80   0 -     0 smpboo 02:52 ?        00:00:00 [ksoftirqd/1]
1 I root          20       2  0  60 -20 -     0 worker 02:52 ?        00:00:00 [kworker/1:0H-kblockd]
1 S root          21       2  0  80   0 -     0 smpboo 02:52 ?        00:00:00 [cpuhp/2]
5 S root          22       2  0   9   - -     0 smpboo 02:52 ?        00:00:00 [idle_inject/2]
1 S root          23       2  0 -40   - -     0 smpboo 02:52 ?        00:00:01 [migration/2]
1 S root          24       2  0  80   0 -     0 smpboo 02:52 ?        00:00:00 [ksoftirqd/2]
1 I root          26       2  0  60 -20 -     0 worker 02:52 ?        00:00:00 [kworker/2:0H-kblockd]
1 S root          27       2  0  80   0 -     0 smpboo 02:52 ?        00:00:00 [cpuhp/3]
5 S root          28       2  0   9   - -     0 smpboo 02:52 ?        00:00:00 [idle_inject/3]
1 S root          29       2  0 -40   - -     0 smpboo 02:52 ?        00:00:01 [migration/3]
1 S root          30       2  0  80   0 -     0 smpboo 02:52 ?        00:00:38 [ksoftirqd/3]
